S_ID;GRE;TOFEL;UNIVERSITY_RATING;SOP;LOR ;CGPA;RESEARCH;RANK
72;336;112;5;5;5;9.76;1;A
73;321;111;5;5;5;9.45;1;A
74;314;108;4;4.5;4;9.04;1;B
75;314;106;3;3;5;8.9;0;B
76;329;114;2;2;4;8.56;1;B
77;327;112;3;3;3;8.72;1;B
78;301;99;2;3;2;8.22;0;B
79;296;95;2;3;2;7.54;1;C
80;294;93;1;1.5;2;7.36;0;C
81;312;105;3;2;3;8.02;1;B
82;340;120;4;5;5;9.5;1;A
83;320;110;5;5;4.5;9.22;1;A
84;322;115;5;4;4.5;9.36;1;A
85;340;115;5;4.5;4.5;9.45;1;A
86;319;103;4;4.5;3.5;8.66;0;B
87;315;106;3;4.5;3.5;8.42;0;B
88;317;107;2;3.5;3;8.28;0;B
89;314;108;3;4.5;3.5;8.14;0;B
90;316;109;4;4.5;3.5;8.76;1;B
91;318;106;2;4;4;7.92;1;B
92;299;97;3;5;3.5;7.66;0;C
93;298;98;2;4;3;8.03;0;C
94;301;97;2;3;3;7.88;1;C
95;303;99;3;2;2.5;7.66;0;C
96;304;100;4;1.5;2.5;7.84;0;C
97;306;100;2;3;3;8;0;C
98;331;120;3;4;4;8.96;1;A
99;332;119;4;5;4.5;9.24;1;A
100;323;113;3;4;4;8.88;1;B
101;322;107;3;3.5;3.5;8.46;1;B
102;312;105;2;2.5;3;8.12;0;B
103;314;106;2;4;3.5;8.25;0;B
104;317;104;2;4.5;4;8.47;0;B
105;326;112;3;3.5;3;9.05;1;B
106;316;110;3;4;4.5;8.78;1;B
107;329;111;4;4.5;4.5;9.18;1;A
108;338;117;4;3.5;4.5;9.46;1;A
109;331;116;5;5;5;9.38;1;A
110;304;103;5;5;4;8.64;0;B
111;305;108;5;3;3;8.48;0;B
112;321;109;4;4;4;8.68;1;B
113;301;107;3;3.5;3.5;8.34;1;B
114;320;110;2;4;3.5;8.56;0;B
115;311;105;3;3.5;3;8.45;1;B
116;310;106;4;4.5;4.5;9.04;1;B
117;299;102;3;4;3.5;8.62;0;B
118;290;104;4;2;2.5;7.46;0;C
119;296;99;2;3;3.5;7.28;0;C
120;327;104;5;3;3.5;8.84;1;B
121;335;117;5;5;5;9.56;1;A
122;334;119;5;4.5;4.5;9.48;1;A
123;310;106;4;1.5;2.5;8.36;0;B
124;308;108;3;3.5;3.5;8.22;0;B
125;301;106;4;2.5;3;8.47;0;B
126;300;100;3;2;3;8.66;1;B
127;323;113;3;4;3;9.32;1;A
128;319;112;3;2.5;2;8.71;1;B
129;326;112;3;3.5;3;9.1;1;B
130;333;118;5;5;5;9.35;1;A
131;339;114;5;4;4.5;9.76;1;A
132;303;105;5;5;4.5;8.65;0;B
133;309;105;5;3.5;3.5;8.56;0;B
134;323;112;5;4;4.5;8.78;0;B
135;333;113;5;4;4;9.28;1;A
136;314;109;4;3.5;4;8.77;1;B
137;312;103;3;5;4;8.45;0;B
138;316;100;2;1.5;3;8.16;1;B
139;326;116;2;4.5;3;9.08;1;B
140;318;109;1;3.5;3.5;9.12;0;B
141;329;110;2;4;3;9.15;1;B
142;332;118;2;4.5;3.5;9.36;1;A
143;331;115;5;4;3.5;9.44;1;A
144;340;120;4;4.5;4;9.92;1;A
145;325;112;2;3;3.5;8.96;1;B
146;320;113;2;2;2.5;8.64;1;B
147;315;105;3;2;2.5;8.48;0;B
148;326;114;3;3;3;9.11;1;B
149;339;116;4;4;3.5;9.8;1;A
150;311;106;2;3.5;3;8.26;1;B
151;334;114;4;4;4;9.43;1;A
152;332;116;5;5;5;9.28;1;A
153;321;112;5;5;5;9.06;1;A
154;324;105;3;3;4;8.75;0;B
155;326;108;3;3;3.5;8.89;0;B
156;312;109;3;3;3;8.69;0;B
157;315;105;3;2;2.5;8.34;0;B
158;309;104;2;2;2.5;8.26;0;B
159;306;106;2;2;2.5;8.14;0;B
160;297;100;1;1.5;2;7.9;0;B
161;315;103;1;1.5;2;7.86;0;B
162;298;99;1;1.5;3;7.46;0;B
163;318;109;3;3;3;8.5;0;B
164;317;105;3;3.5;3;8.56;0;B
165;329;111;4;4.5;4;9.01;1;B
166;322;110;5;4.5;4;8.97;0;B
167;302;102;3;3.5;5;8.33;0;B
168;313;102;3;2;3;8.27;0;B
169;293;97;2;2;4;7.8;1;B
170;311;99;2;2.5;3;7.98;0;B
171;312;101;2;2.5;3.5;8.04;1;B
172;334;117;5;4;4.5;9.07;1;A
173;322;110;4;4;5;9.13;1;A
174;323;113;4;4;4.5;9.23;1;A
175;321;111;4;4;4;8.97;1;A
176;320;111;4;4.5;3.5;8.87;1;A
177;329;119;4;4.5;4.5;9.16;1;A
178;319;110;3;3.5;3.5;9.04;0;B
179;309;108;3;2.5;3;8.12;0;B
180;307;102;3;3;3;8.27;0;B
181;300;104;3;3.5;3;8.16;0;B
182;305;107;2;2.5;2.5;8.42;0;B
183;299;100;2;3;3.5;7.88;0;B
184;314;110;3;4;4;8.8;0;B
185;316;106;2;2.5;4;8.32;0;B
186;327;113;4;4.5;4.5;9.11;1;A
187;317;107;3;3.5;3;8.68;1;B
188;335;118;5;4.5;3.5;9.44;1;A
189;331;115;5;4.5;3.5;9.36;1;A
190;324;112;5;5;5;9.08;1;A
191;324;111;5;4.5;4;9.16;1;A
192;323;110;5;4;5;8.98;1;A
193;322;114;5;4.5;4;8.94;1;A
194;336;118;5;4.5;5;9.53;1;A
195;316;109;3;3.5;3;8.76;0;B
196;307;107;2;3;3.5;8.52;1;B
197;306;105;2;3;2.5;8.26;0;B
198;310;106;2;3.5;2.5;8.33;0;B
199;311;104;3;4.5;4.5;8.43;0;B
200;313;107;3;4;4.5;8.69;0;B
201;317;103;3;2.5;3;8.54;1;B
202;315;110;2;3.5;3;8.46;1;B
203;340;120;5;4.5;4.5;9.91;1;A
204;334;120;5;4;5;9.87;1;A
205;298;105;3;3.5;4;8.54;0;B
206;295;99;2;2.5;3;7.65;0;B
207;315;99;2;3.5;3;7.89;0;B
208;310;102;3;3.5;4;8.02;1;B
209;305;106;2;3;3;8.16;0;B
210;301;104;3;3.5;4;8.12;1;B
211;325;108;4;4.5;4;9.06;1;B
212;328;110;4;5;4;9.14;1;B
213;338;120;4;5;5;9.66;1;A
214;333;119;5;5;4.5;9.78;1;A
215;331;117;4;4.5;5;9.42;1;A
216;330;116;5;5;4.5;9.36;1;A
217;322;112;4;4.5;4.5;9.26;1;A
218;321;109;4;4;4;9.13;1;A
219;324;110;4;3;3.5;8.97;1;B
220;312;104;3;3.5;3.5;8.42;0;B
221;313;103;3;4;4;8.75;0;B
222;316;110;3;3.5;4;8.56;0;B
223;324;113;4;4.5;4;8.79;0;B
224;308;109;2;3;4;8.45;0;B
225;305;105;2;3;2;8.23;0;B
226;296;99;2;2.5;2.5;8.03;0;B
227;306;110;2;3.5;4;8.45;0;B
228;312;110;2;3.5;3;8.53;0;B
229;318;112;3;4;3.5;8.67;0;B
230;324;111;4;3;3;9.01;1;B
231;313;104;3;4;4.5;8.65;0;B
232;319;106;3;3.5;2.5;8.33;1;B
233;312;107;2;2.5;3.5;8.27;0;B
234;304;100;2;2.5;3.5;8.07;0;B
235;330;113;5;5;4;9.31;1;A
236;326;111;5;4.5;4;9.23;1;A
237;325;112;4;4;4.5;9.17;1;A
238;329;114;5;4.5;5;9.19;1;A
239;310;104;3;2;3.5;8.37;0;B
240;299;100;1;1.5;2;7.89;0;B
241;296;101;1;2.5;3;7.68;0;B
242;317;103;2;2.5;2;8.15;0;B
243;324;115;3;3.5;3;8.76;1;B
244;325;114;3;3.5;3;9.04;1;B
245;314;107;2;2.5;4;8.56;0;B
246;328;110;4;4;2.5;9.02;1;B
247;316;105;3;3;3.5;8.73;0;B
248;311;104;2;2.5;3.5;8.48;0;B
249;324;110;3;3.5;4;8.87;1;B
250;321;111;3;3.5;4;8.83;1;B
251;320;104;3;3;2.5;8.57;1;B
252;316;99;2;2.5;3;9;0;B
253;318;100;2;2.5;3.5;8.54;1;B
254;335;115;4;4.5;4.5;9.68;1;A
255;321;114;4;4;5;9.12;0;A
256;307;110;4;4;4.5;8.37;0;B
257;309;99;3;4;4;8.56;0;B
258;324;100;3;4;5;8.64;1;B
259;326;102;4;5;5;8.76;1;B
260;331;119;4;5;4.5;9.34;1;A
261;327;108;5;5;3.5;9.13;1;A
262;312;104;3;3.5;4;8.09;0;B
263;308;103;2;2.5;4;8.36;1;B
264;324;111;3;2.5;1.5;8.79;1;B
265;325;110;2;3;2.5;8.76;1;B
266;313;102;3;2.5;2.5;8.68;0;B
267;312;105;2;2;2.5;8.45;0;B
268;314;107;3;3;3.5;8.17;1;B
269;327;113;4;4.5;5;9.14;0;B
270;308;108;4;4.5;5;8.34;0;B
271;306;105;2;2.5;3;8.22;1;B
272;299;96;2;1.5;2;7.86;0;B
273;294;95;1;1.5;1.5;7.64;0;C
274;312;99;1;1;1.5;8.01;1;B
275;315;100;1;2;2.5;7.95;0;B
276;322;110;3;3.5;3;8.96;1;B
277;329;113;5;5;4.5;9.45;1;A
278;320;101;2;2.5;3;8.62;0;B
279;308;103;2;3;3.5;8.49;0;B
280;304;102;2;3;4;8.73;0;B
281;311;102;3;4.5;4;8.64;1;B
282;317;110;3;4;4.5;9.11;1;B
283;312;106;3;4;3.5;8.79;1;B
284;321;111;3;2.5;3;8.9;1;B
285;340;112;4;5;4.5;9.66;1;A
286;331;116;5;4;4;9.26;1;A
287;336;118;5;4.5;4;9.19;1;A
288;324;114;5;5;4.5;9.08;1;A
289;314;104;4;5;5;9.02;0;B
290;313;109;3;4;3.5;9;0;B
291;307;105;2;2.5;3;7.65;0;B
292;300;102;2;1.5;2;7.87;0;B
293;302;99;2;1;2;7.97;0;B
294;312;98;1;3.5;3;8.18;1;B
295;316;101;2;2.5;2;8.32;1;B
296;317;100;2;3;2.5;8.57;0;B
297;310;107;3;3.5;3.5;8.67;0;B
298;320;120;3;4;4.5;9.11;0;A
299;330;114;3;4.5;4.5;9.24;1;A
300;305;112;3;3;3.5;8.65;0;B
301;309;106;2;2.5;2.5;8;0;B
302;319;108;2;2.5;3;8.76;0;B
303;322;105;2;3;3;8.45;1;B
304;323;107;3;3.5;3.5;8.55;1;B
305;313;106;2;2.5;2;8.43;0;B
306;321;109;3;3.5;3.5;8.8;1;B
307;323;110;3;4;3.5;9.1;1;B
308;325;112;4;4;4;9;1;B
309;312;108;3;3.5;3;8.53;0;B
310;308;110;4;3.5;3;8.6;0;B
311;320;104;3;3;3.5;8.74;1;B
312;328;108;4;4.5;4;9.18;1;B
313;311;107;4;4.5;4.5;9;1;B
314;301;100;3;3.5;3;8.04;0;B
315;305;105;2;3;4;8.13;0;B
316;308;104;2;2.5;3;8.07;0;B
317;298;101;2;1.5;2;7.86;0;B
318;300;99;1;1;2.5;8.01;0;B
319;324;111;3;2.5;2;8.8;1;B
320;327;113;4;3.5;3;8.69;1;B
321;317;106;3;4;3.5;8.5;1;B
322;323;104;3;4;4;8.44;1;B
323;314;107;2;2.5;4;8.27;0;B
324;305;102;2;2;2.5;8.18;0;B
325;315;104;3;3;2.5;8.33;0;B
326;326;116;3;3.5;4;9.14;1;B
327;299;100;3;2;2;8.02;0;B
328;295;101;2;2.5;2;7.86;0;B
329;324;112;4;4;3.5;8.77;1;B
330;297;96;2;2.5;1.5;7.89;0;C
331;327;113;3;3.5;3;8.66;1;B
332;311;105;2;3;2;8.12;1;B
333;308;106;3;3.5;2.5;8.21;1;B
334;319;108;3;3;3.5;8.54;1;B
335;312;107;4;4.5;4;8.65;1;B
336;325;111;4;4;4.5;9.11;1;B
337;319;110;3;3;2.5;8.79;0;B
338;332;118;5;5;5;9.47;1;A
339;323;108;5;4;4;8.74;1;B
340;324;107;5;3.5;4;8.66;1;B
341;312;107;3;3;3;8.46;1;B
342;326;110;3;3.5;3.5;8.76;1;B
343;308;106;3;3;3;8.24;0;B
344;305;103;2;2.5;3.5;8.13;0;B
345;295;96;2;1.5;2;7.34;0;C
346;316;98;1;1.5;2;7.43;0;C
347;304;97;2;1.5;2;7.64;0;C
348;299;94;1;1;1;7.34;0;C
349;302;99;1;2;2;7.25;0;B
350;313;101;3;2.5;3;8.04;0;B
351;318;107;3;3;3.5;8.27;1;B
352;325;110;4;3.5;4;8.67;1;B
353;303;100;2;3;3.5;8.06;1;B
354;300;102;3;3.5;2.5;8.17;0;B
355;297;98;2;2.5;3;7.67;0;B
356;317;106;2;2;3.5;8.12;0;B
357;327;109;3;3.5;4;8.77;1;B
358;301;104;2;3.5;3.5;7.89;1;B
359;314;105;2;2.5;2;7.64;0;B
360;321;107;2;2;1.5;8.44;0;B
361;322;110;3;4;5;8.64;1;A
362;334;116;4;4;3.5;9.54;1;A
363;338;115;5;4.5;5;9.23;1;A
364;306;103;2;2.5;3;8.36;0;B
365;313;102;3;3.5;4;8.9;1;B
366;330;114;4;4.5;3;9.17;1;A
367;320;104;3;3.5;4.5;8.34;1;B
368;311;98;1;1;2.5;7.46;0;B
369;298;92;1;2;2;7.88;0;B
370;301;98;1;2;3;8.03;1;B
371;310;103;2;2.5;2.5;8.24;0;B
372;324;110;3;3.5;3;9.22;1;A
373;336;119;4;4.5;4;9.62;1;A
374;321;109;3;3;3;8.54;1;B
375;315;105;2;2;2.5;7.65;0;C
376;304;101;2;2;2.5;7.66;0;C
377;297;96;2;2.5;2;7.43;0;C
378;290;100;1;1.5;2;7.56;0;C
379;303;98;1;2;2.5;7.65;0;B
380;311;99;1;2.5;3;8.43;1;B
381;322;104;3;3.5;4;8.84;1;B
382;319;105;3;3;3.5;8.67;1;B
383;324;110;4;4.5;4;9.15;1;B
384;300;100;3;3;3.5;8.26;0;B
385;340;113;4;5;5;9.74;1;A
386;335;117;5;5;5;9.82;1;A
387;302;101;2;2.5;3.5;7.96;0;C
388;307;105;2;2;3.5;8.1;0;B
389;296;97;2;1.5;2;7.8;0;C
390;320;108;3;3.5;4;8.44;1;B
391;314;102;2;2;2.5;8.24;0;B
392;318;106;3;2;3;8.65;0;B
393;326;112;4;4;3.5;9.12;1;B
394;317;104;2;3;3;8.76;0;B
395;329;111;4;4.5;4;9.23;1;A
396;324;110;3;3.5;3.5;9.04;1;B
397;325;107;3;3;3.5;9.11;1;B
398;330;116;4;5;4.5;9.45;1;A
399;312;103;3;3.5;4;8.78;0;B
400;333;117;4;5;4;9.66;1;A
